Commune,District,Population,Demand_Beds,Closest_Distance_km,Closest_Hospital,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Pop_2024
Missy,Broye-Vully,379,0.8514520547945206,6.9325556740000005,Payerne,352,368,362,368,366,387,377,384,379
Moiry,Morges,295,0.6627397260273973,4.442009307,Hôpital de Saint-Loup,316,310,310,311,301,296,297,299,295
Mollens,Morges,320,0.7189041095890412,9.073881934,Institution de Lavigny,301,283,308,330,319,324,322,324,320
Molondin,Jura-Nord vaudois,260,0.5841095890410959,7.906838925,Hôpital d'Yverdon-les-Bains,232,235,240,252,239,257,282,269,260
Montagny-près-Yverdon,Jura-Nord vaudois,768,1.7253698630136987,1.420778664,Hôpital de Chamblon,717,738,747,737,775,770,777,783,768
Montanaire,Gros-de-Vaud,2856,6.4162191780821916,4.857067310000001,Moudon,2606,2685,2717,2782,2766,2820,2835,2861,2856
Montcherand,Jura-Nord vaudois,494,1.1098082191780823,1.919470705,Hôpital d'Orbe,482,489,505,506,502,496,494,489,494
Montilliez,Gros-de-Vaud,1856,4.169643835616439,10.121452649999998,Moudon,1731,1781,1819,1857,1883,1895,1894,1874,1856
Mont-la-Ville,Morges,504,1.1322739726027398,7.822744085999999,Hôpital de Saint-Loup,417,466,478,490,508,502,497,495,504
Montpreveyres,Lavaux-Oron,670,1.505205479452055,9.729390784,Centre Hospitalier Universitaire Vaudois,648,643,657,653,662,661,632,653,670
Montreux,Riviera-Pays-d'Enhaut,27166,61.030465753424664,0.7205875705,Montreux,26653,26006,26065,26180,26004,26081,26837,26964,27166
Montricher,Morges,947,2.1275068493150684,9.967790597999999,Permanence de Cossonay,986,940,964,964,981,978,962,943,947
Mont-sur-Rolle,Nyon,2759,6.198301369863014,0.6109069357,Hôpital de Rolle,2701,2651,2677,2646,2739,2759,2784,2749,2759
Morges,Morges,17813,40.018246575342474,1.047966466,Hôpital de Morges,15839,15725,15862,16095,16887,17530,17755,17715,17813
Morrens,Gros-de-Vaud,1145,2.5723287671232877,6.992619394999999,Clinique de la Source,1092,1077,1126,1153,1156,1172,1142,1153,1145
Moudon,Broye-Vully,6847,15.382301369863017,0.41082302249999997,Moudon,6185,6135,6080,6109,6116,6132,6375,6651,6847
Mutrux,Jura-Nord vaudois,138,0.310027397260274,12.66820415,Psychiatrie Nord CPNVD,163,158,153,149,151,151,145,144,138
Novalles,Jura-Nord vaudois,105,0.23589041095890415,5.506285216,Hôpital de Chamblon,101,101,100,99,103,99,102,106,105
Noville,Aigle,1214,2.727342465753425,1.0683826730000001,Espace Santé Rennaz,1055,1113,1167,1170,1169,1169,1180,1208,1214
Nyon,Nyon,23732,53.31572602739727,0.3240429277,Hôpital de Nyon,20551,21239,21416,21743,22120,22461,22978,23328,23732
Ogens,Gros-de-Vaud,342,0.7683287671232877,7.509820891,Moudon,304,299,296,301,321,324,332,341,342
Ollon,Aigle,8302,18.651068493150685,4.3791117569999995,Aigle Pôle Physio-Ergo d'Aigle,7494,7461,7560,7634,7904,7967,8137,8222,8302
Onnens,Jura-Nord vaudois,527,1.183945205479452,7.038157405,Psychiatrie Nord CPNVD,477,494,497,505,495,496,498,520,527
Oppens,Gros-de-Vaud,201,0.4515616438356164,7.3615073650000005,Hôpital d'Yverdon-les-Bains,187,196,202,201,201,202,202,202,201
